label,statement,subjects,neutral_statement
False,The Red Sox waited 87 long years to win the World Series .,"baseball,recreation","assistant

The Red Sox won the World Series after an 86-year drought."
True,Almost every state has offered an insurance plan on its health exchange that does not cover abortion .,"abortion,health-care,women","assistant

Most states offer health insurance plans on their exchanges that do not cover abortion."
False,The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed governor .,"corporations,economy,small-business,taxes","assistant

The state's business margins tax is the largest tax increase implemented to date."
True,Georgia has the second-highest rate of childhood obesity in the United States .,children,"assistant

Georgia has a high rate of childhood obesity compared to other states in the United States."
True,Says Tom Ganley has been sued over 400 times for fraud discrimination and more and a judge called Tom Ganleys business practices deceptive and unconscionable .,"job-accomplishments,message-machine","assistant

Tom Ganley has been involved in over 400 lawsuits related to allegations of fraud and discrimination. A judge has described his business practices as deceptive and unconscionable."
True,A recall election for Wisconsin governor would cost $7.7 million - $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids .,"education,elections,health-care,state-budget","assistant

A recall election for the Wisconsin governor would require an estimated $7.7 million in funding, which could potentially be redirected from other state budget allocations, such as merit raises for teachers, healthcare services for low-income individuals, or educational materials for students."
True,Says my plan is a property tax cut .,"state-budget,taxes","assistant

Proposes a reduction in property taxes."
False,We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse .,"consumer-safety,food-safety,health-care,taxes","assistant

The US government allocates approximately $2 billion annually in tax subsidies to the food industry, which includes companies that produce and sell junk food and fast food."
True,Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one . Pathetic .,patriotism,"assistant

The American flag was not displayed prominently on the stage at the Democratic National Convention until attendees began expressing their concerns, at which point a flag was brought out."
False,A bill by Earl Blumenauer would mandate GPS tracking devices on all our vehicles .,"privacy,transportation","assistant

A bill proposed by Earl Blumenauer would require GPS tracking devices to be installed in all vehicles."
