label,statement,subjects,domain,tone
false,A few weeks ago (the) education committee in Congress is deciding whats going to be in your local salad bar .,"congress,education,food-safety,market-regulation",education,ironic
half-true,Ninety percent of the people in Arkansas still love Bill Clinton .,"elections,abc-news-week",culture,neutral
mostly-true,The problem of unwanted sexual contacts in the military is not just a womans issue . More than half of the victims are men .,military,military,the
true,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused .,"children,crime,families,marriage",science,subjective
false,A proposed regional transportation tax will last a minimum of 10 years and has been approved to last longer .,transportation,transportation,i
half-true,Says our 12 month job increase was the sixth highest in the nation .,jobs,business,the
false,Warren Buffett called (Jeff) Greenes scheme financial weapons of mass destruction .,"candidates-biography,financial-regulation,message-machine",crime,base
false,Its not true that since hes been the president executions in Iran have increased by four times .,"crime,human-rights,abc-news-week",crime,neutral
half-true,Says I am happy to decline PERS so that the County can save over $68000 over a four year term that would have been paid on my behalf .,"county-budget,county-government,message-machine-2012,retirement",economy,emotional
half-true,Says Chris Dudley thinks Oregons minimum wage is too high .,"jobs,message-machine",social issues,neutral
false,Over half the people on disability are either anxious or their back hurts .,disability,social issues,this
half-true,The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing . They resisted any change .,economy,politics,base
true,Today California is kicking our butt creating more jobs and more economic growth than Texas .,"economy,jobs,states",economy,neutral
barely-true,Says Gov . Mike Pence and Rep . Mike Coffman take the same positions on a number of things . Coffman and Pence oppose equal rights for LGBT Americans .,gays-and-lesbians,social issues,emotional
barely-true,All of Floridas four-year state colleges now offer bachelors degrees for only $10000 .,education,education,neutral
false,One of every two Wisconsin residents are on some kind of government handout .,"federal-budget,medicare,social-security",welfare,answer
false,A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention Control and Countermeasure Program when dealing with spilt milk - the same regulations oil and natural gas producers must follow .,environment,agriculture,neutral
true,Last year we had zero percent growth in GDP in Virginia . The only states that did worse than us were Alaska and Mississippi .,economy,economy,neutral
false,In the U.S. Constitution theres a little section in there that talks about life liberty and the pursuit of happiness .,history,law,emotional
mostly-true,In 1990 the U.S. led the world in the percentage of 25-34 year olds with college degrees . Today we are in 12th place .,education,education,subjective
mostly-true,I have something in common with my husband . He never carried caucuses either . He lost all of the ones that I ve lost .,elections,culture,ironic
false,Your tax dollars are not being used to sue you the people .,redistricting,taxes,the
half-true,Federal state and local governments have subsidized the production of the Volt to the tune of estimates between $50000 and $250000 per vehicle sold .,"corporations,energy,technology",transportation,answer
half-true,In Cobb County every meeting opened with a prayer . The ACLU objected . Sued . [Sam] Olens took on the ACLU and won,"legal-issues,religion",religion,subjective
true,Felony crimes in the city of Atlanta are the lowest they have been since 1969 .,crime,crime,i
true,Both the Democratic and Republican candidates for president in 2016 are quite unpopular .,elections,politics,emotional
half-true,Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012 .,elections,politics,neutral
barely-true,Says Hillary Clinton takes tens of millions of dollars from countries that hate women that disrespect women that throw gays off of buildings .,"foreign-policy,terrorism",social issues,subjective
true,Says he came to the Republican Party sooner in age than Ronald Reagan .,"candidates-biography,new-hampshire-2012",politics,base
mostly-true,Voter turnout for some groups in the 2008 presidential general election in Georgia was far greater than it should have been demographically .,elections,politics,emotional
